Epoch,Train Loss,"Train Dice Class 0 (Color: (0, 0, 0))","Train Dice Class 1 (Color: (250, 149, 10))","Train Dice Class 2 (Color: (19, 98, 19))","Train Dice Class 3 (Color: (249, 249, 10))","Train Dice Class 4 (Color: (10, 248, 250))","Train Dice Class 5 (Color: (149, 7, 149))","Train Dice Class 6 (Color: (5, 249, 9))","Train Dice Class 7 (Color: (20, 19, 249))","Train Dice Class 8 (Color: (249, 9, 250))",Validation Loss,Validation Accuracy
1,0.5073964638929618,0.9383178353309631,0.1860819309949875,0.5195545554161072,0.0010942256776615977,0.4245687425136566,0.18817594647407532,0.07291028648614883,0.20594701170921326,0.018966682255268097,0.2825314298272133,"tensor(0.9421, device='cuda:0')"
2,0.1959341543873674,0.9790941476821899,0.6053379774093628,0.6664890050888062,2.539643901400268e-06,0.6474770307540894,0.47730183601379395,0.43626728653907776,0.5802924036979675,0.23858366906642914,0.236721009016037,"tensor(0.9482, device='cuda:0')"
3,0.146291485252349,0.9834842681884766,0.6991944313049316,0.7440955638885498,0.03871368244290352,0.7549883723258972,0.6776286363601685,0.6103916764259338,0.655059814453125,0.5444774627685547,0.13497206568717957,"tensor(0.9651, device='cuda:0')"
4,0.14119828428680958,0.9859991669654846,0.7685106992721558,0.7774043679237366,0.15111751854419708,0.7953140139579773,0.7579938769340515,0.6603142023086548,0.7073953747749329,0.6131659746170044,2.5895877361297606,"tensor(0.6150, device='cuda:0')"
5,0.1250468885624095,0.9870092272758484,0.7681018114089966,0.763864278793335,0.16123341023921967,0.7837858200073242,0.7664051055908203,0.6390081644058228,0.6967450976371765,0.6019585728645325,0.11402851864695548,"tensor(0.9667, device='cuda:0')"
6,0.09804897137770527,0.9884321093559265,0.8094711303710938,0.8046805262565613,0.18033500015735626,0.8290907740592957,0.80784010887146,0.6897922158241272,0.7494124174118042,0.653674304485321,0.10376274883747101,"tensor(0.9704, device='cuda:0')"
7,0.08238272251267183,0.990348219871521,0.8396573662757874,0.8271846175193787,0.2262854129076004,0.8597311973571777,0.834884524345398,0.7044240236282349,0.797034740447998,0.6995316743850708,0.07570115327835084,"tensor(0.9775, device='cuda:0')"
8,0.07706958026086029,0.9908790588378906,0.8433910012245178,0.8370007276535034,0.29536208510398865,0.8724990487098694,0.8509457111358643,0.7353867292404175,0.8139501810073853,0.7130252718925476,0.06992451772093773,"tensor(0.9793, device='cuda:0')"
9,0.07113049341071594,0.9916243553161621,0.8661352396011353,0.8428394794464111,0.3814834654331207,0.8840456604957581,0.8530857563018799,0.7554675340652466,0.8283789157867432,0.7293910384178162,0.06703284978866578,"tensor(0.9800, device='cuda:0')"
10,0.06591665524205095,0.992172360420227,0.8822177052497864,0.8605807423591614,0.4750216007232666,0.8951926231384277,0.8673095703125,0.775322437286377,0.8425002694129944,0.7394781112670898,0.05772147160023451,"tensor(0.9835, device='cuda:0')"
11,0.07065823434018775,0.9923731088638306,0.882300615310669,0.8576985597610474,0.5409502983093262,0.8909225463867188,0.8596247434616089,0.7721465229988098,0.8381534218788147,0.7560830116271973,0.06467440389096737,"tensor(0.9806, device='cuda:0')"
12,0.05967465543041104,0.992816150188446,0.9024116396903992,0.8777108192443848,0.5786330103874207,0.9080083966255188,0.8771046996116638,0.7995855212211609,0.8579456210136414,0.780371904373169,0.057608030177652834,"tensor(0.9825, device='cuda:0')"
13,0.060777573429636265,0.9927088022232056,0.9020524024963379,0.8807823657989502,0.6314537525177002,0.9058014750480652,0.872577965259552,0.8033559322357178,0.8594910502433777,0.786511242389679,0.05552368760108948,"tensor(0.9838, device='cuda:0')"
14,0.05583633310896786,0.9932742118835449,0.8987556099891663,0.8870596885681152,0.6199256777763367,0.9079620838165283,0.8739415407180786,0.7989602088928223,0.8557553291320801,0.7858360409736633,0.05610361825674772,"tensor(0.9832, device='cuda:0')"
